,Time,Surface,Age,Sex,Vehicle
910,2,0,25,1,0
911,1,0,61,1,0
912,1,0,33,0,0
913,1,0,57,0,0
914,1,1,19,0,0
915,1,1,20,0,0
916,2,1,17,1,5
917,2,0,37,1,3
918,0,1,26,1,0
919,2,0,48,0,0
920,2,0,49,0,0
921,1,0,48,1,0
922,1,0,31,1,3
923,2,0,23,1,5
924,2,0,46,1,0
925,2,0,18,1,0
926,1,4,41,0,0
927,1,1,84,1,0
928,2,1,22,1,0
929,2,1,26,0,0
930,2,1,30,0,0
931,1,1,25,1,3
932,0,0,28,1,0
933,0,1,34,1,0
934,1,0,50,1,0
935,1,0,80,0,0
936,1,0,55,1,10
937,0,0,18,1,3
938,1,1,38,1,0
939,2,0,19,1,2
940,2,0,11,1,3
941,2,0,24,1,0
942,1,0,35,1,3
943,1,0,28,1,0
944,1,1,34,1,3
945,2,0,19,1,0
946,1,1,25,1,6
947,1,1,19,1,0
948,2,1,26,0,0
949,2,1,18,1,0
950,2,1,27,1,0
951,2,0,11,1,3
952,1,0,43,0,0
953,2,0,52,1,0
954,2,0,35,1,3
955,0,0,24,1,0
956,2,1,25,0,0
957,2,1,42,1,0
958,1,0,48,1,8
959,2,1,42,1,0
960,2,0,12,0,3
961,2,0,26,1,9
962,2,0,23,0,0
963,2,0,27,1,0
964,0,0,37,1,0
965,0,0,20,1,0
966,0,0,36,1,0
967,0,0,24,1,0
968,2,0,21,1,4
969,1,0,36,1,0
970,2,1,10,1,3
971,2,1,46,1,0
972,1,0,58,1,0
973,2,0,24,1,0
974,2,0,42,1,0
975,2,0,67,1,3
976,1,0,45,0,3
977,1,0,26,1,0
978,1,0,27,0,3
979,2,1,43,0,3
980,2,1,19,1,0
981,1,0,28,1,1
982,1,0,49,0,0
983,1,1,40,0,0
984,2,1,30,1,0
985,1,1,23,0,0
986,2,0,20,1,0
987,1,1,52,1,6
988,1,1,63,0,0
989,2,1,39,1,0
990,1,0,23,1,3
991,0,0,19,0,0
992,2,0,28,0,0
993,2,0,18,1,3
994,1,0,16,1,3
995,1,0,38,1,8
996,0,0,58,0,0
997,1,1,22,1,0
998,2,1,21,1,8
999,2,0,30,1,0
1000,1,0,24,1,0
1001,2,1,27,1,0
1002,2,1,30,1,0
1003,2,1,45,1,0
1004,1,0,29,1,8
1005,2,0,19,1,6
1006,2,0,35,1,0
1007,2,0,34,1,3
1008,1,0,27,0,0
1009,2,0,20,1,6
1010,2,0,25,1,1
1011,2,0,43,0,0
1012,1,0,48,1,3
1013,2,0,34,0,0
1014,0,0,35,1,0
1015,1,1,25,1,0
1016,1,1,43,0,0
1017,2,1,25,1,0
1018,2,0,31,1,0
1019,1,0,38,1,5
1020,1,0,21,1,7
1021,1,0,28,1,0
1022,2,0,28,0,0
1023,1,0,32,0,8
1024,2,0,42,1,3
1025,2,0,56,0,0
1026,1,0,12,1,3
1027,2,0,61,1,0
1028,2,0,25,0,0
1029,2,0,43,1,8
1030,1,0,27,0,0
1031,2,0,35,1,3
1032,2,0,26,1,0
1033,1,0,25,1,0
1034,2,0,56,1,0
1035,1,0,44,1,0
1036,0,0,35,1,0
1037,0,0,50,1,1
1038,1,0,34,1,0
1039,1,1,19,1,0
1040,1,1,53,1,7
1041,1,0,79,1,0
1042,1,0,22,0,0
1043,1,0,42,0,0
1044,2,0,22,1,3
1045,2,0,52,1,0
1046,2,0,64,0,0
1047,1,0,46,1,3
1048,1,0,54,0,3
1049,2,0,12,1,3
1050,1,0,41,0,0
1051,1,0,21,1,4
1052,2,0,66,1,3
1053,2,0,12,1,3
1054,2,0,30,0,0
1055,2,0,8,1,3
1056,2,0,35,1,0
