1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
B,05-Dec-14,21,Driver,Slight,434305,425897,Daylight: street lights present,1,1C50482,Dry,Male,1045,Car,Fine without high winds
Unclassified,05-Dec-14,51,Driver,Serious,432651,438034,Daylight: street lights present,2,1C50629,Dry,Male,1209,Pedal cycle,Fine without high winds
B,05-Dec-14,89,Passenger,Slight,427896,436200,Daylight: street lights present,1,1C50664,Dry,Female,1136,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,03-Dec-14,45,Driver,Serious,431267,433828,Daylight: street lights present,2,1C50781,Dry,Female,830,Pedal cycle,Fine without high winds
Unclassified,05-Dec-14,55,Driver,Slight,434855,428429,Daylight: street lights present,2,1C50923,Wet / Damp,Male,1502,Motorcycle over 125cc and up to 500cc,Fine without high winds
Unclassified,05-Dec-14,14,Pedestrian,Slight,422956,433108,Daylight: street lights present,1,1C50965,Dry,Male,1523,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,05-Dec-14,22,Driver,Serious,434581,428144,Darkness: street lights present and lit,1,1C51028,Dry,Male,1550,M/cycle 50cc and under,Fine without high winds
Unclassified,05-Dec-14,40,Driver,Slight,428078,434972,Darkness: street lights present and lit,2,1C51124,Dry,Male,1650,Motorcycle over 50cc and up to 125cc,Fine without high winds
Motorway,05-Dec-14,61,Driver,Slight,431621,430526,Darkness: street lights present and lit,2,1C51234,Dry,Male,1815,Car,Fine without high winds
Unclassified,05-Dec-14,20,Driver,Slight,431178,429972,Darkness: street lights present and lit,2,1C51241,Wet / Damp,Male,1747,Pedal cycle,Fine without high winds
A,05-Dec-14,64,Driver,Serious,432872,427584,Darkness: street lights present and lit,2,1C51402,Wet / Damp,Female,1855,Car,Fine without high winds
Unclassified,04-Dec-14,51,Pedestrian,Slight,426186,437462,Darkness: street lighting unknown,1,1C51471,Dry,Female,1800,Car,Fine without high winds
A,05-Dec-14,55,Driver,Slight,419210,441794,Darkness: street lights present and lit,2,1C51607,Wet / Damp,Male,2010,Motorcycle over 50cc and up to 125cc,Fine without high winds
Motorway,05-Dec-14,26,Driver,Slight,430435,431155,Darkness: street lights present and lit,1,1C51895,Dry,Female,2354,Car,Fine without high winds
A,06-Dec-14,25,Driver,Serious,431743,431426,Darkness: street lights present and lit,2,1C60403,Wet / Damp,Male,702,Pedal cycle,Fine without high winds
A(M),06-Dec-14,27,Driver,Slight,429393,433805,Daylight: street lights present,3,1C60412,Dry,Male,715,Other Vehicle ,Fine without high winds
A,06-Dec-14,25,Driver,Slight,431256,432305,Daylight: street lights present,1,1C60568,Wet / Damp,Female,1025,Car,Fine without high winds
B,06-Dec-14,20,Pedestrian,Slight,427649,436028,Darkness: street lights present and lit,1,1C60577,Dry,Male,400,Taxi/Private hire car,Fine without high winds
A,06-Dec-14,59,Driver,Slight,440175,433412,Daylight: street lights present,2,1C60636,Wet / Damp,Female,1115,Car,Fine without high winds
A,06-Dec-14,30,Driver,Slight,440175,433412,Daylight: street lights present,2,1C60636,Wet / Damp,Female,1115,Car,Fine without high winds
Unclassified,06-Dec-14,82,Pedestrian,Slight,424909,434426,Daylight: street lights present,1,1C60653,Dry,Male,1125,Car,Fine without high winds
A(M),06-Dec-14,32,Driver,Slight,429391,433794,Daylight: street lights present,2,1C60843,Dry,Male,810,Car,Fine without high winds
A(M),06-Dec-14,18,Driver,Slight,429391,433794,Daylight: street lights present,2,1C60843,Dry,Male,810,Car,Fine without high winds
Unclassified,06-Dec-14,82,Passenger,Slight,436452,435723,Daylight: street lights present,1,1C61054,Dry,Male,1430,Bus or coach (17 or more passenger seats),Fine without high winds
A(M),06-Dec-14,30,Driver,Slight,429403,433846,Darkness: street lights present and lit,1,1C61091,Wet / Damp,Male,1645,Car,Fine without high winds
Unclassified,06-Dec-14,44,Driver,Slight,438538,430165,Darkness: street lights present and lit,2,1C61132,Wet / Damp,Female,1630,Car,Fine without high winds
Unclassified,06-Dec-14,42,Pedestrian,Slight,427603,436986,Darkness: street lights present and lit,1,1C61138,Dry,Female,1639,Car,Fine without high winds
Unclassified,06-Dec-14,17,Driver,Slight,440370,448116,Darkness: street lighting unknown,2,1C61498,Dry,Male,2020,M/cycle 50cc and under,Fine without high winds
Unclassified,07-Dec-14,20,Driver,Slight,428799,435166,Darkness: street lighting unknown,1,1C70333,Dry,Male,430,Pedal cycle,Fine without high winds
Unclassified,05-Dec-14,55,Passenger,Slight,430236,427775,Darkness: street lights present and lit,1,1C80481,Dry,Female,1940,Bus or coach (17 or more passenger seats),Fine without high winds
A,08-Dec-14,32,Driver,Slight,435864,435275,Daylight: street lights present,2,1C81266,Dry,Male,1740,M/cycle 50cc and under,Fine without high winds
A,08-Dec-14,45,Driver,Slight,430782,434560,Daylight: street lights present,3,1C81626,Dry,Male,2200,Car,Fine without high winds
A,09-Dec-14,41,Driver,Slight,431797,435580,Daylight: street lights present,2,1C90850,Dry,Male,1430,Car,Fine without high winds
Unclassified,09-Dec-14,50,Driver,Slight,427833,436382,Darkness: street lights present and lit,2,1C91345,Dry,Male,2000,Pedal cycle,Fine without high winds
Unclassified,09-Dec-14,30,Driver,Slight,429794,433798,Darkness: street lights present and lit,2,1C91483,Wet / Damp,Female,2115,Car,Raining without high winds
Unclassified,09-Dec-14,59,Pedestrian,Slight,429784,434077,Darkness: street lights present and lit,1,1C91527,Dry,Male,2140,Car,Fine without high winds
A,10-Dec-14,34,Driver,Slight,427725,434459,Daylight: street lights present,2,1CA0208,Dry,Male,740,Car,Fine without high winds
Unclassified,10-Dec-14,84,Pedestrian,Slight,423749,438013,Daylight: street lights present,1,1CA0858,Wet / Damp,Female,1504,Goods vehicle 3.5 tonnes mgw and under,Raining without high winds
A,10-Dec-14,10,Passenger,Slight,424451,433895,Daylight: street lights present,2,1CA0906,Wet / Damp,Female,1530,Car,Fine with high winds
Unclassified,10-Dec-14,23,Driver,Slight,430468,436316,Daylight: street lights present,2,1CA0944,Dry,Female,1510,Car,Fine without high winds
Unclassified,10-Dec-14,42,Driver,Serious,430746,438905,Darkness: street lights present and lit,2,1CA1002,Wet / Damp,Female,1624,Car,Raining without high winds
A,10-Dec-14,29,Driver,Slight,428045,431112,Daylight: street lights present,2,1CA1222,Dry,Male,1800,M/cycle 50cc and under,Fine without high winds
Unclassified,10-Dec-14,48,Passenger,Slight,428826,430302,Darkness: street lights present and lit,3,1CA1225,Dry,Male,1740,Car,Fine without high winds
A,10-Dec-14,30,Pedestrian,Fatal,435776,436795,Darkness: street lights present and lit,1,1CA1274,Wet / Damp,Male,1830,Car,Raining with high winds
A,10-Dec-14,19,Driver,Slight,435863,436433,Darkness: street lights present and lit,2,1CA1291,Wet / Damp,Male,1840,Car,Raining with high winds
A,10-Dec-14,9,Passenger,Slight,435863,436433,Darkness: street lights present and lit,2,1CA1291,Wet / Damp,Male,1840,Car,Raining with high winds
Unclassified,10-Dec-14,46,Driver,Slight,435419,436669,Daylight: street lights present,2,1CA1371,Dry,Male,1930,Car,Fine without high winds
Unclassified,10-Dec-14,29,Driver,Slight,433154,435249,Darkness: street lights present and lit,2,1CA1567,Wet / Damp,Male,2215,Car,Raining with high winds
Unclassified,10-Dec-14,18,Passenger,Slight,425336,440883,Darkness: street lights present and lit,1,1CA1568,Wet / Damp,Male,2235,Car,Raining with high winds
Unclassified,10-Dec-14,18,Passenger,Slight,425336,440883,Darkness: street lights present and lit,1,1CA1568,Wet / Damp,Male,2235,Car,Raining with high winds
Unclassified,10-Dec-14,18,Passenger,Slight,425336,440883,Darkness: street lights present and lit,1,1CA1568,Wet / Damp,Male,2235,Car,Raining with high winds
A,13-Dec-14,46,Driver,Slight,422242,436768,Daylight: street lights present,2,1CB0548,Dry,Male,1145,Car,Fine without high winds
A,11-Dec-14,93,Passenger,Slight,430195,438301,Darkness: street lights present and lit,2,1CB0920,Wet / Damp,Female,1545,Bus or coach (17 or more passenger seats),Raining without high winds
Unclassified,11-Dec-14,39,Driver,Slight,430867,434253,Darkness: street lights present and lit,3,1CB0981,Dry,Male,1625,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,11-Dec-14,28,Driver,Slight,430867,434253,Darkness: street lights present and lit,3,1CB0981,Dry,Female,1625,Car,Fine without high winds
Unclassified,12-Dec-14,11,Pedestrian,Slight,441295,433228,Daylight: street lights present,1,1CC0522,Dry,Male,810,Car,Fine without high winds
A,12-Dec-14,53,Driver,Slight,430814,431975,Daylight: street lights present,2,1CC0564,Dry,Female,1223,Car,Fine without high winds
Unclassified,12-Dec-14,26,Passenger,Slight,431885,435549,Daylight: street lights present,2,1CC0911,Wet / Damp,Male,900,Car,Raining without high winds
Unclassified,12-Dec-14,25,Driver,Slight,431885,435549,Daylight: street lights present,2,1CC0911,Wet / Damp,Male,900,Car,Raining without high winds
A(M),12-Dec-14,33,Passenger,Serious,443654,437222,Darkness: street lights present and lit,4,1CC1002,Dry,Female,1630,Car,Fine without high winds
A(M),12-Dec-14,46,Passenger,Slight,443654,437222,Darkness: street lights present and lit,4,1CC1002,Dry,Female,1630,Car,Fine without high winds
A(M),12-Dec-14,57,Driver,Slight,443654,437222,Darkness: street lights present and lit,4,1CC1002,Dry,Female,1630,Car,Fine without high winds
Unclassified,12-Dec-14,15,Pedestrian,Serious,433408,434962,Darkness: street lights present and lit,1,1CC1160,Wet / Damp,Male,1751,Car,Fine without high winds
Unclassified,12-Dec-14,17,Pedestrian,Slight,433408,434962,Darkness: street lights present and lit,1,1CC1160,Wet / Damp,Male,1751,Car,Fine without high winds
Unclassified,12-Dec-14,21,Passenger,Slight,434721,438859,Darkness: no street lighting,1,1CC1294,Wet / Damp,Female,1906,Car,Fine without high winds
A,13-Dec-14,55,Driver,Slight,429389,425864,Darkness: street lights present and lit,2,1CD0097,Wet / Damp,Male,130,Car,Fine without high winds
A,13-Dec-14,32,Driver,Slight,429389,425864,Darkness: street lights present and lit,2,1CD0097,Wet / Damp,Male,130,Car,Fine without high winds
Unclassified,13-Dec-14,20,Driver,Slight,425802,428128,Daylight: street lights present,2,1CD0802,Wet / Damp,Male,1143,M/cycle 50cc and under,Fine without high winds
Unclassified,13-Dec-14,68,Passenger,Slight,425802,428128,Daylight: street lights present,2,1CD0802,Wet / Damp,Female,1143,Car,Fine without high winds
Unclassified,13-Dec-14,1,Pedestrian,Slight,430686,436780,Daylight: street lights present,1,1CD0865,Dry,Female,1325,Car,Fine without high winds
A,13-Dec-14,52,Pedestrian,Slight,432157,433604,Darkness: street lights present and lit,1,1CD1083,Wet / Damp,Male,1620,Goods vehicle 3.5 tonnes mgw and under,Raining without high winds
Motorway,13-Dec-14,21,Driver,Slight,430181,426431,Darkness: street lights present and lit,2,1CD1095,Wet / Damp,Female,1614,Car,Raining without high winds
Unclassified,13-Dec-14,31,Pedestrian,Slight,430386,433600,Darkness: street lights present and lit,1,1CD1136,Wet / Damp,Female,1640,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,13-Dec-14,77,Passenger,Slight,430386,433600,Darkness: street lights present and lit,1,1CD1136,Wet / Damp,Female,1640,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,13-Dec-14,86,Passenger,Slight,430386,433600,Darkness: street lights present and lit,1,1CD1136,Wet / Damp,Female,1640,Bus or coach (17 or more passenger seats),Fine without high winds
A,14-Dec-14,41,Driver,Serious,430933,433312,Darkness: street lights present and lit,2,1CE0242,Wet / Damp,Male,250,Taxi/Private hire car,Fine without high winds
A,14-Dec-14,21,Passenger,Serious,430933,433312,Darkness: street lights present and lit,2,1CE0242,Wet / Damp,Male,250,Taxi/Private hire car,Fine without high winds
A,14-Dec-14,26,Passenger,Serious,430933,433312,Darkness: street lights present and lit,2,1CE0242,Wet / Damp,Male,250,Taxi/Private hire car,Fine without high winds
A,14-Dec-14,21,Passenger,Serious,430933,433312,Darkness: street lights present and lit,2,1CE0242,Wet / Damp,Female,250,Taxi/Private hire car,Fine without high winds
A,14-Dec-14,28,Passenger,Serious,430933,433312,Darkness: street lights present and lit,2,1CE0242,Wet / Damp,Female,250,Taxi/Private hire car,Fine without high winds
A,14-Dec-14,31,Pedestrian,Serious,430859,433343,Darkness: street lights present and lit,1,1CE0243,Dry,Male,250,Car,Fine without high winds
Unclassified,14-Dec-14,21,Driver,Slight,424759,433577,Daylight: street lights present,2,1CE0606,Wet / Damp,Male,1057,Motorcycle over 50cc and up to 125cc,Fine without high winds
A,14-Dec-14,53,Passenger,Slight,433268,436242,Darkness: street lights present and lit,1,1CE1140,Wet / Damp,Female,1729,Car,Fine without high winds
Unclassified,14-Dec-14,59,Pedestrian,Serious,429811,432954,Darkness: street lights present and lit,1,1CE1380,Wet / Damp,Female,1940,Car,Fine without high winds
A,15-Dec-14,51,Driver,Slight,432210,444913,Daylight: street lights present,2,1CF0246,Wet / Damp,Female,815,Car,Raining without high winds
A,15-Dec-14,51,Driver,Slight,426972,439836,Daylight: street lights present,2,1CF0721,Dry,Female,1355,Car,Fine without high winds
A,15-Dec-14,55,Passenger,Slight,426972,439836,Daylight: street lights present,2,1CF0721,Dry,Male,1355,Car,Fine without high winds
A,15-Dec-14,46,Driver,Slight,434652,434524,Daylight: street lights present,2,1CF0800,Wet / Damp,Female,1426,Car,Raining without high winds
Unclassified,14-Dec-14,19,Pedestrian,Slight,427081,436955,Darkness: street lighting unknown,1,1CF0877,Dry,Female,2345,Taxi/Private hire car,Fine without high winds
Unclassified,15-Dec-14,10,Pedestrian,Serious,425059,433375,Darkness: street lights present and lit,1,1CF1328,Wet / Damp,Male,1840,Car,Fine without high winds
Unclassified,16-Dec-14,37,Driver,Slight,443946,442722,Daylight: street lights present,1,1CG0265,Wet / Damp,Female,850,Car,Fine without high winds
Unclassified,16-Dec-14,22,Driver,Slight,433161,435243,Daylight: street lights present,2,1CG0729,Dry,Female,1405,Car,Fine without high winds
A,16-Dec-14,21,Pedestrian,Slight,430701,433612,Daylight: street lights present,1,1CG0771,Dry,Male,1441,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,16-Dec-14,28,Driver,Slight,426837,438055,Darkness: street lights present and lit,3,1CG1251,Dry,Female,1846,Car,Fine without high winds
A,16-Dec-14,30,Driver,Slight,427569,436873,Darkness: street lights present and lit,2,1CG1611,Wet / Damp,Male,2250,Pedal cycle,Raining without high winds
A,17-Dec-14,11,Pedestrian,Serious,430326,435936,Darkness: street lights present and lit,1,1CH0233,Wet / Damp,Female,740,Car,Fine without high winds
Unclassified,17-Dec-14,33,Driver,Slight,426041,436553,Daylight: street lights present,1,1CH0522,Wet / Damp,Male,1140,Car,Fine without high winds
Unclassified,17-Dec-14,85,Pedestrian,Slight,422278,433404,Daylight: street lights present,1,1CH0716,Wet / Damp,Male,1345,Car,Fine without high winds
A,17-Dec-14,69,Pedestrian,Slight,431880,435714,Daylight: street lights present,1,1CH0930,Dry,Female,1546,Car,Fine without high winds
Unclassified,17-Dec-14,11,Pedestrian,Slight,420922,433534,Darkness: street lights present and lit,1,1CH1008,Wet / Damp,Male,1624,Car,Fine without high winds
Unclassified,17-Dec-14,11,Pedestrian,Slight,435020,436052,Darkness: street lights present and lit,1,1CH1054,Wet / Damp,Female,1642,Car,Raining without high winds
Unclassified,17-Dec-14,35,Driver,Serious,426058,436619,Darkness: street lights present and lit,2,1CH1402,Wet / Damp,Male,1944,Pedal cycle,Raining without high winds
A,17-Dec-14,67,Driver,Slight,436739,433810,Darkness: street lights present and lit,1,1CH1409,Wet / Damp,Female,1947,Car,Raining without high winds
Unclassified,18-Dec-14,57,Passenger,Slight,429128,433853,Daylight: street lights present,2,1CI0839,Wet / Damp,Female,1340,Car,Fine without high winds
A,18-Dec-14,34,Pedestrian,Slight,431044,433564,Darkness: street lights present and lit,1,1CI1175,Wet / Damp,Male,1651,Car,Raining without high winds
Unclassified,18-Dec-14,32,Driver,Slight,425473,437539,Darkness: street lights present and lit,2,1CI1253,Wet / Damp,Male,1731,Pedal cycle,Unknown
Unclassified,18-Dec-14,20,Pedestrian,Slight,428506,431275,Darkness: street lights present and lit,1,1CI1311,Wet / Damp,Male,1755,Car,Raining without high winds
Unclassified,18-Dec-14,26,Driver,Slight,431483,435012,Darkness: street lights present and lit,2,1CI1321,Wet / Damp,Male,1801,Car,Raining without high winds
Unclassified,18-Dec-14,56,Driver,Slight,433164,436091,Darkness: street lights present and lit,2,1CI1515,Wet / Damp,Female,2000,Car,Raining without high winds
A(M),18-Dec-14,51,Pedestrian,Fatal,437870,432950,Darkness: no street lighting,1,1CI1594,Wet / Damp,Male,2050,Goods vehicle 7.5 tonnes mgw and over,Raining without high winds
Unclassified,18-Dec-14,25,Driver,Slight,427471,433776,Darkness: street lights present and lit,2,1CI1699,Wet / Damp,Male,2215,Pedal cycle,Raining without high winds
Unclassified,19-Dec-14,34,Driver,Slight,429486,438077,Darkness: street lights present and lit,2,1CJ0063,Wet / Damp,Male,111,Car,Raining without high winds
Unclassified,19-Dec-14,38,Passenger,Slight,429486,438077,Darkness: street lights present and lit,2,1CJ0063,Wet / Damp,Male,111,Car,Raining without high winds
Unclassified,19-Dec-14,36,Passenger,Slight,429486,438077,Darkness: street lights present and lit,2,1CJ0063,Wet / Damp,Male,111,Car,Raining without high winds
Unclassified,19-Dec-14,34,Driver,Slight,420224,434835,Daylight: street lights present,2,1CJ0355,Wet / Damp,Male,932,Car,Raining without high winds
A,19-Dec-14,54,Driver,Slight,423869,434279,Daylight: street lights present,2,1CJ0678,Wet / Damp,Male,1315,Car,Fine without high winds
A,15-Dec-14,33,Driver,Slight,430037,431028,Daylight: street lights present,2,1CJ0817,Wet / Damp,Male,1545,Car,Raining without high winds
Motorway,19-Dec-14,41,Driver,Slight,427709,426389,Darkness: street lights present and lit,3,1CJ1219,Wet / Damp,Male,1600,Goods vehicle 3.5 tonnes mgw and under,Raining with high winds
Unclassified,19-Dec-14,39,Pedestrian,Slight,429942,433381,Darkness: street lights present and lit,1,1CJ1944,Wet / Damp,Male,2335,Taxi/Private hire car,Fine without high winds
A,20-Dec-14,56,Driver,Slight,432531,443201,Darkness: street lights present and lit,1,1CK0283,Wet / Damp,Male,312,Car,Fine without high winds
Unclassified,20-Dec-14,6,Pedestrian,Slight,433334,434251,Darkness: street lights present and lit,1,1CK1199,Dry,Male,1632,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Unclassified,18-Dec-14,6,Passenger,Slight,430432,431268,Darkness: street lights present and lit,2,1CK1248,Dry,Female,1800,Car,Fine without high winds
Unclassified,20-Dec-14,32,Pedestrian,Slight,430338,433385,Darkness: street lights present and lit,1,1CK1571,Dry,Male,2025,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,20-Dec-14,17,Passenger,Slight,423570,434696,Darkness: street lights present and lit,2,1CL0443,Dry,Female,2230,Taxi/Private hire car,Fine without high winds
Unclassified,20-Dec-14,18,Passenger,Slight,423570,434696,Darkness: street lights present and lit,2,1CL0443,Dry,Female,2230,Taxi/Private hire car,Fine without high winds
A,21-Dec-14,64,Passenger,Slight,431228,445744,Daylight: street lights present,2,1CL0648,Wet / Damp,Female,1230,Car,Fine without high winds
Unclassified,21-Dec-14,61,Passenger,Slight,429561,431050,Darkness: street lights present and lit,2,1CL0989,Dry,Female,1639,Taxi/Private hire car,Fine without high winds
Unclassified,21-Dec-14,22,Driver,Slight,430912,428655,Darkness: street lights present and lit,2,1CL1017,Dry,Female,1702,Car,Fine without high winds
Unclassified,21-Dec-14,60,Passenger,Slight,430912,428655,Darkness: street lights present and lit,2,1CL1017,Dry,Female,1702,Car,Fine without high winds
A,21-Dec-14,66,Driver,Slight,430032,431022,Darkness: street lights present and lit,2,1CL1308,Wet / Damp,Male,2015,Car,Fine without high winds
A,21-Dec-14,44,Passenger,Slight,430032,431022,Darkness: street lights present and lit,2,1CL1308,Wet / Damp,Male,2015,Car,Fine without high winds
A,21-Dec-14,32,Driver,Slight,430032,431022,Darkness: street lights present and lit,2,1CL1308,Wet / Damp,Male,2015,Car,Fine without high winds
B,21-Dec-14,48,Driver,Slight,430905,436562,Darkness: street lights present and lit,2,1CL1483,Wet / Damp,Female,2212,Car,Fine with high winds
B,21-Dec-14,18,Passenger,Slight,430905,436562,Darkness: street lights present and lit,2,1CL1483,Wet / Damp,Male,2212,Car,Fine with high winds
B,21-Dec-14,10,Passenger,Slight,430905,436562,Darkness: street lights present and lit,2,1CL1483,Wet / Damp,Female,2212,Car,Fine with high winds
Unclassified,22-Dec-14,41,Pedestrian,Slight,425830,438647,Darkness: street lights present and lit,1,1CM0248,Dry,Male,739,Car,Fine with high winds
Unclassified,22-Dec-14,16,Passenger,Slight,430634,431191,Daylight: street lights present,2,1CM0892,Wet / Damp,Male,1448,Car,Raining with high winds
Unclassified,22-Dec-14,34,Driver,Slight,429006,429700,Daylight: street lights present,2,1CM0916,Dry,Female,1501,Car,Fine without high winds
Unclassified,22-Dec-14,52,Pedestrian,Slight,430910,435581,Darkness: street lights present and lit,1,1CM1165,Wet / Damp,Female,1710,Car,Fine with high winds
A,22-Dec-14,28,Driver,Slight,425397,437918,Darkness: street lights present and lit,1,1CM1223,Wet / Damp,Male,1756,Car,Fine with high winds
A,22-Dec-14,10,Passenger,Slight,425397,437918,Darkness: street lights present and lit,1,1CM1223,Wet / Damp,Male,1756,Car,Fine with high winds
A,22-Dec-14,5,Passenger,Slight,430936,433389,Daylight: street lights present,1,1CM1273,Wet / Damp,Male,1550,Bus or coach (17 or more passenger seats),Fine with high winds
Unclassified,22-Dec-14,31,Driver,Slight,431474,431698,Darkness: street lights present and lit,2,1CM1390,Wet / Damp,Male,1923,M/cycle 50cc and under,Raining without high winds
A,22-Dec-14,20,Driver,Slight,427493,425504,Darkness: street lights present and lit,2,1CM1603,Dry,Male,2130,Car,Fine without high winds
B,22-Dec-14,54,Driver,Serious,434219,433855,Darkness: street lights present and lit,1,1CM1751,Wet / Damp,Male,2322,Motorcycle over 50cc and up to 125cc,Raining with high winds
A,23-Dec-14,78,Passenger,Slight,434613,434512,Daylight: street lights present,2,1CN0652,Wet / Damp,Male,1150,Bus or coach (17 or more passenger seats),Fine without high winds
A,23-Dec-14,77,Passenger,Slight,434613,434512,Daylight: street lights present,2,1CN0652,Wet / Damp,Female,1150,Bus or coach (17 or more passenger seats),Fine without high winds
A,23-Dec-14,75,Passenger,Slight,434613,434512,Daylight: street lights present,2,1CN0652,Wet / Damp,Female,1150,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,23-Dec-14,64,Passenger,Slight,430812,436622,Daylight: street lights present,1,1CN0767,Dry,Male,1310,Bus or coach (17 or more passenger seats),Fine without high winds
Motorway,23-Dec-14,21,Driver,Slight,430859,424444,Darkness: street lights present and lit,2,1CN1086,Wet / Damp,Female,1700,Car,Raining without high winds
Unclassified,23-Dec-14,29,Driver,Slight,431817,434294,Darkness: street lights present and lit,2,1CN1095,Wet / Damp,Female,1700,Car,Fine without high winds
Unclassified,23-Dec-14,50,Passenger,Slight,429917,438776,Daylight: street lights present,2,1CN1112,Dry,Male,1030,Car,Fine without high winds
Unclassified,23-Dec-14,22,Passenger,Slight,435301,435253,Darkness: street lights present and lit,1,1CN1135,Wet / Damp,Female,1744,Taxi/Private hire car,Fine without high winds
Unclassified,23-Dec-14,22,Passenger,Slight,435301,435253,Darkness: street lights present and lit,1,1CN1135,Wet / Damp,Female,1744,Taxi/Private hire car,Fine without high winds
A,23-Dec-14,29,Driver,Slight,424469,433844,Darkness: street lights present and lit,2,1CN1174,Wet / Damp,Female,1845,Car,Raining with high winds
A,23-Dec-14,28,Driver,Slight,428550,433012,Darkness: street lights present and lit,2,1CN1299,Dry,Male,1915,Car,Fine with high winds
A,23-Dec-14,55,Passenger,Slight,428550,433012,Darkness: street lights present and lit,2,1CN1299,Dry,Male,1915,Car,Fine with high winds
Unclassified,24-Dec-14,48,Driver,Slight,431496,433971,Daylight: street lights present,3,1CO0288,Dry,Male,800,Car,Fine without high winds
A,24-Dec-14,12,Passenger,Slight,419833,441195,Daylight: street lights present,3,1CO0718,Dry,Female,1327,Car,Fine without high winds
Unclassified,24-Dec-14,79,Pedestrian,Serious,441270,431106,Daylight: street lights present,1,1CO0793,Dry,Female,1345,Car,Fine without high winds
Unclassified,24-Dec-14,25,Pedestrian,Slight,430267,433754,Darkness: street lights present and lit,1,1CO0919,Dry,Female,1607,Car,Fine without high winds
A,26-Dec-14,34,Driver,Slight,431968,435819,Darkness: street lights present and lit,2,1CQ0124,Dry,Male,150,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,26-Dec-14,24,Passenger,Slight,431968,435819,Darkness: street lights present and lit,2,1CQ0124,Dry,Female,150,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
Motorway,26-Dec-14,23,Driver,Slight,434120,429958,Daylight: street lights present,1,1CQ0293,Wet / Damp,Female,745,Car,Fine without high winds
A,26-Dec-14,29,Driver,Serious,433654,438995,Daylight: street lights present,2,1CQ0491,Wet / Damp,Male,1150,Motorcycle over 500cc,Fine without high winds
A,26-Dec-14,33,Driver,Slight,425680,426870,Daylight: street lights present,2,1CQ0518,Dry,Female,1100,Car,Fine without high winds
A,26-Dec-14,19,Driver,Slight,440675,447730,Darkness: street lights present and lit,2,1CQ0820,Wet / Damp,Female,1645,Car,Raining without high winds
A,26-Dec-14,76,Passenger,Slight,440675,447730,Darkness: street lights present and lit,2,1CQ0820,Wet / Damp,Female,1645,Car,Raining without high winds
Unclassified,26-Dec-14,17,Passenger,Slight,427956,429368,Darkness: street lights present and lit,2,1CQ0911,Dry,Female,1750,Car,Fine without high winds
A,26-Dec-14,58,Driver,Fatal,432565,439367,Darkness: street lights present and lit,2,1CQ0913,Wet / Damp,Male,1752,Car,Raining without high winds
Unclassified,26-Dec-14,63,Pedestrian,Fatal,429965,427061,Darkness: street lights present and lit,1,1CQ0917,Wet / Damp,Male,1754,Bus or coach (17 or more passenger seats),Raining without high winds
B,26-Dec-14,44,Driver,Slight,420220,445622,Darkness: street lights present and lit,2,1CQ0968,Snow,Male,1830,Pedal cycle,Snowing without high winds
Unclassified,26-Dec-14,30,Driver,Slight,425680,426869,Darkness: street lights present and lit,2,1CQ1060,Wet / Damp,Male,1930,Taxi/Private hire car,Snowing without high winds
Unclassified,27-Dec-14,27,Pedestrian,Slight,424124,435026,Darkness: street lights present and lit,1,1CR0161,Dry,Female,125,Taxi/Private hire car,Fine without high winds
Unclassified,27-Dec-14,2,Passenger,Slight,432563,435023,Darkness: street lights present and lit,2,1CR1338,Wet / Damp,Male,1950,Car,Fine without high winds
A,27-Dec-14,20,Driver,Slight,417978,442773,Darkness: street lights present and lit,2,1CR1342,Frost / Ice,Female,1955,Car,Raining without high winds
A,27-Dec-14,20,Passenger,Slight,417978,442773,Darkness: street lights present and lit,2,1CR1342,Frost / Ice,Female,1955,Car,Raining without high winds
Unclassified,27-Dec-14,16,Driver,Serious,432007,434490,Darkness: street lights present and lit,2,1CR1601,Wet / Damp,Male,2330,Car,Fine without high winds
Unclassified,27-Dec-14,17,Passenger,Slight,432007,434490,Darkness: street lights present and lit,2,1CR1601,Wet / Damp,Male,2330,Car,Fine without high winds
Unclassified,28-Dec-14,45,Driver,Slight,440330,435697,Daylight: street lights present,1,1CS0418,Frost / Ice,Male,955,Car,Fine without high winds
A,28-Dec-14,22,Driver,Slight,421208,434125,Daylight: street lights present,1,1CS0430,Frost / Ice,Female,1005,Car,Fine without high winds
Unclassified,28-Dec-14,86,Pedestrian,Serious,429018,429439,Daylight: street lights present,1,1CS0465,Dry,Male,1118,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
