1st Road Class,Accident Date,Age of Casualty,Casualty Class,Casualty Severity,Easting,Northing,Lighting Conditions,Number of Vehicles,Reference Number,Road Surface,Sex of Casualty,Time (24hr),Type of Vehicle,Weather Conditions
Unclassified,19-Jan-09,43,Driver,Slight,419963,446150,Daylight: street lights present,2,45509,Wet / Damp,Female,1500,Car,Raining without high winds
Unclassified,19-Jan-09,59,Pedestrian,Serious,429932,437557,Darkness: street lights present and lit,3,47909,Wet / Damp,Male,1848,Car,Fine without high winds
A,19-Jan-09,23,Driver,Slight,428956,435471,Daylight: street lights present,2,50809,Wet / Damp,Male,750,Car,Raining without high winds
A,19-Jan-09,23,Driver,Slight,428956,435471,Daylight: street lights present,2,50809,Wet / Damp,Male,750,Bus or coach (17 or more passenger seats),Raining without high winds
Unclassified,19-Jan-09,65,Passenger,Slight,429950,428086,Daylight: street lights present,1,66109,Wet / Damp,Male,1029,Bus or coach (17 or more passenger seats),Snowing without high winds
Motorway,19-Jan-09,19,Passenger,Slight,436940,425890,Daylight: street lights present,3,106409,Dry,Male,1328,Car,Fine without high winds
Unclassified,19-Jan-09,27,Pedestrian,Slight,426467,435765,Darkness: street lighting unknown,1,112209,Dry,Female,1730,Goods vehicle 3.5 tonnes mgw and under,Unknown
Unclassified,20-Jan-09,40,Driver,Serious,436158,441823,Daylight: street lights present,2,43009,Frost / Ice,Male,848,Car,Fine without high winds
Unclassified,20-Jan-09,28,Driver,Slight,436158,441823,Daylight: street lights present,2,43009,Frost / Ice,Female,848,Car,Fine without high winds
Unclassified,20-Jan-09,27,Passenger,Slight,420113,434034,Daylight: street lights present,2,45609,Frost / Ice,Female,815,Car,Fine without high winds
A,20-Jan-09,39,Driver,Slight,427551,431985,Daylight: street lights present,2,46809,Dry,Male,800,Pedal cycle,Fine without high winds
B,20-Jan-09,34,Driver,Slight,421990,433001,Darkness: street lights present and lit,1,50509,Frost / Ice,Male,630,Bus or coach (17 or more passenger seats),Other
A,20-Jan-09,26,Driver,Slight,428300,444735,Darkness: no street lighting,1,72109,Frost / Ice,Male,2140,Car,Fine without high winds
Unclassified,21-Jan-09,45,Passenger,Slight,427202,432544,Daylight: street lights present,1,44009,Dry,Male,1030,Bus or coach (17 or more passenger seats),Fine without high winds
Motorway,21-Jan-09,35,Driver,Slight,431003,430540,Darkness: street lights present and lit,1,45909,Frost / Ice,Male,100,Goods vehicle 3.5 tonnes mgw and under,Fine without high winds
A,21-Jan-09,20,Pedestrian,Serious,423424,437621,Darkness: street lights present and lit,1,50009,Wet / Damp,Male,1820,Car,Raining with high winds
A,21-Jan-09,43,Driver,Slight,439119,432454,Darkness: street lights present and lit,2,58109,Dry,Male,715,Motorcycle over 500cc,Fine without high winds
Unclassified,21-Jan-09,33,Driver,Slight,441925,430291,Darkness: street lighting unknown,2,59409,Wet / Damp,Female,1855,Car,Other
Unclassified,21-Jan-09,31,Driver,Slight,430356,438558,Daylight: street lights present,3,144609,Dry,Female,1425,Car,Fine without high winds
Unclassified,21-Jan-09,42,Driver,Slight,430356,438558,Daylight: street lights present,3,144609,Dry,Male,1425,Car,Fine without high winds
A,22-Jan-09,52,Pedestrian,Slight,427079,434817,Darkness: street lights present and lit,1,47409,Wet / Damp,Female,615,Car,Raining without high winds
B,22-Jan-09,67,Driver,Slight,440893,448715,Darkness: street lights present and lit,2,52709,Wet / Damp,Female,1714,Car,Other
B,22-Jan-09,64,Driver,Slight,440893,448715,Darkness: street lights present and lit,2,52709,Wet / Damp,Female,1714,Car,Other
Unclassified,22-Jan-09,29,Driver,Slight,430637,434720,Darkness: street lighting unknown,2,58209,Dry,Male,2000,Car,Unknown
Unclassified,22-Jan-09,19,Driver,Slight,428824,435224,Daylight: street lights present,2,61409,Dry,Female,1530,Car,Fine without high winds
Unclassified,22-Jan-09,86,Pedestrian,Slight,435518,434819,Daylight: street lights present,1,80209,Dry,Female,1540,Pedal cycle,Fine without high winds
A,23-Jan-09,47,Driver,Slight,434696,434563,Daylight: street lights present,2,53109,Wet / Damp,Female,800,Car,Raining without high winds
Unclassified,23-Jan-09,44,Driver,Slight,424019,438460,Darkness: street lighting unknown,2,54309,Wet / Damp,Male,730,Pedal cycle,Unknown
Unclassified,23-Jan-09,5,Pedestrian,Slight,433428,433952,Daylight: street lights present,1,57909,Wet / Damp,Female,1600,Car,Fine without high winds
Unclassified,23-Jan-09,18,Passenger,Slight,428508,442351,Darkness: no street lighting,1,58509,Wet / Damp,Female,2230,Car,Fine without high winds
Unclassified,23-Jan-09,50,Driver,Slight,434063,435140,Darkness: street lighting unknown,2,58709,Wet / Damp,Male,722,Car,Fine without high winds
A,23-Jan-09,52,Driver,Slight,432000,430452,Daylight: street lights present,2,64709,Dry,Male,1330,Car,Fine without high winds
A,23-Jan-09,59,Driver,Slight,432000,430452,Daylight: street lights present,2,64709,Dry,Male,1330,Goods vehicle 7.5 tonnes mgw and over,Fine without high winds
B,23-Jan-09,45,Driver,Slight,426354,428164,Daylight: street lights present,2,67609,Dry,Male,1325,Pedal cycle,Fine without high winds
Unclassified,23-Jan-09,26,Driver,Slight,429675,432925,Daylight: street lights present,3,67809,Dry,Male,1435,Car,Fine without high winds
Unclassified,23-Jan-09,43,Driver,Slight,429675,432925,Daylight: street lights present,3,67809,Dry,Male,1435,Car,Fine without high winds
Unclassified,23-Jan-09,43,Passenger,Slight,429675,432925,Daylight: street lights present,3,67809,Dry,Female,1435,Car,Fine without high winds
Unclassified,23-Jan-09,37,Driver,Slight,429675,432925,Daylight: street lights present,3,67809,Dry,Male,1435,Car,Fine without high winds
Unclassified,23-Jan-09,29,Passenger,Slight,429675,432925,Daylight: street lights present,3,67809,Dry,Female,1435,Car,Fine without high winds
A(M),23-Jan-09,38,Driver,Serious,430433,433982,Darkness: street lights present and lit,2,124709,Wet / Damp,Male,25,Motorcycle over 500cc,Fine without high winds
Unclassified,24-Jan-09,86,Passenger,Slight,431630,434445,Daylight: street lights present,1,53409,Dry,Female,1148,Bus or coach (17 or more passenger seats),Fine without high winds
Unclassified,24-Jan-09,42,Driver,Slight,422663,432681,Darkness: street lights present and lit,2,57109,Wet / Damp,Male,1715,Car,Fine without high winds
A,24-Jan-09,42,Driver,Slight,428207,426829,Daylight: street lights present,1,59709,Frost / Ice,Female,800,Car,Fine without high winds
B,24-Jan-09,21,Passenger,Slight,422286,433429,Darkness: street lights present and lit,1,81009,Dry,Male,308,Car,Fine without high winds
