Latitude,Longitude
53.9055859457,-1.3639448066
53.8312407279,-1.5542365914
53.8312407279,-1.5542365914
53.7960688894,-1.5325207238
53.8015000083,-1.4932421191
53.8118518142,-1.5760683817
53.7979493274,-1.462177083
53.8164385512,-1.6313844005
53.8329526832,-1.538704777
53.8329526832,-1.538704777
53.8278797491,-1.5666543163
53.7807067967,-1.6387995838
53.7807067967,-1.6387995838
53.7807067967,-1.6387995838
53.7924966259,-1.6691188519
53.7924966259,-1.6691188519
53.8123844782,-1.6714530439
53.8312049466,-1.5542825528
53.7912967819,-1.4250570014
53.8087276283,-1.5523189376
53.8148064459,-1.4532282626
53.8035563733,-1.5326348792
53.8087118596,-1.5092066068
53.7306179367,-1.5710953261
53.8581583692,-1.5636658828
53.8141586347,-1.6041120557
53.8227959153,-1.3387512714
53.774438191,-1.5822111271
53.7633784644,-1.52772608
53.805314372,-1.4876993205
53.8188140744,-1.4918485792
53.8188140744,-1.4918485792
53.7767906606,-1.4660438113
53.7690717611,-1.5820519753
53.7690717611,-1.5820519753
53.7690717611,-1.5820519753
53.7690717611,-1.5820519753
53.7976899038,-1.5174271536
53.8956087623,-1.676674947
53.772391836,-1.5506874537
53.772391836,-1.5506874537
53.8348433565,-1.651599674
53.8348433565,-1.651599674
53.7960201105,-1.5624889713
53.8348618168,-1.651766668
53.9050928103,-1.4323547519
53.8303654511,-1.4633422671
53.7575415356,-1.5697595239
53.7575415356,-1.5697595239
53.7575415356,-1.5697595239
53.8325926971,-1.475135119
53.8413282595,-1.5337343442
53.7849287955,-1.5431774785
53.8635941858,-1.6734395578
53.8664974872,-1.6801991281
53.7976365985,-1.513131312
53.8483129026,-1.5004596596
53.9040178637,-1.6924543651
53.9012905645,-1.5585292976
53.9012905645,-1.5585292976
53.9012905645,-1.5585292976
53.8088454934,-1.5089165152
53.7375259702,-1.6039527744
53.8485223393,-1.5536275105
53.8023970718,-1.6911025141
53.7959953057,-1.5414025472
53.8115964064,-1.5068645261
53.8076038187,-1.4685225825
53.7573172223,-1.5698679856
53.7277526715,-1.5543764306
53.7900226366,-1.6524110685
53.796208335,-1.4372867599
53.7092614931,-1.5488904966
53.7092614931,-1.5488904966
53.7899003408,-1.5727680702
53.7482384423,-1.6654934711
53.8312804473,-1.5879971074
53.8312804473,-1.5879971074
53.8312804473,-1.5879971074
53.8013659227,-1.4976924049
53.804051543,-1.6397531079
53.7972618529,-1.5882848428
53.7972618529,-1.5882848428
53.8448446065,-1.5116417163
53.7436468562,-1.5528134519
53.7796789048,-1.3385791924
53.8173027191,-1.5312669194
53.8173027191,-1.5312669194
53.8086270005,-1.532988529
53.7940614789,-1.4773162675
53.7969709539,-1.5403443822
53.798786413,-1.5379712981
53.7638418845,-1.3789519747
53.8141525045,-1.5536888126
53.8324065242,-1.3624401571
53.8324065242,-1.3624401571
53.8103904378,-1.5796671037
53.8103904378,-1.5796671037
53.8103904378,-1.5796671037
53.8149159903,-1.5608646443
53.8346373438,-1.6518445043
53.8120794591,-1.5173530997
53.8120794591,-1.5173530997
53.8120794591,-1.5173530997
53.8287238412,-1.5842239266
53.798974738,-1.5402010245
53.8473592113,-1.6963501785
53.8473592113,-1.6963501785
53.8334126819,-1.5140538551
53.809517011,-1.5171395411
53.809517011,-1.5171395411
53.7726679252,-1.5476196056
53.7726679252,-1.5476196056
53.7412821277,-1.4528787531
53.7743378456,-1.5817872688
53.8075909607,-1.6607089145
53.7994535237,-1.5455551954
53.9061863978,-1.3636160416
53.837556409,-1.4736142402
53.837556409,-1.4736142402
53.837556409,-1.4736142402
53.8661615627,-1.6823153944
53.8661615627,-1.6823153944
53.798962591,-1.5810718093
53.798962591,-1.5810718093
53.8077392705,-1.6497590574
53.7590614635,-1.6321900159
53.7590614635,-1.6321900159
53.7590614635,-1.6321900159
53.8209416163,-1.5846199157
53.7568358025,-1.5188508567
53.8151650802,-1.5157988535
53.8151650802,-1.5157988535
53.8015350004,-1.4887778254
53.8015350004,-1.4887778254
53.7344991933,-1.5756945003
53.8387711775,-1.6305805716
53.8484482574,-1.5341264743
53.7428754951,-1.5051672865
53.7428754951,-1.5051672865
53.8049704984,-1.542747188
53.8049704984,-1.542747188
53.8045838244,-1.5356755057
53.8423146602,-1.3767582783
53.8423146602,-1.3767582783
53.8908721228,-1.6667909743
53.8000413262,-1.4118954618
53.7711473208,-1.5495779905
53.7968182798,-1.5403764137
53.7929057138,-1.5686844711
53.7929057138,-1.5686844711
53.8013920591,-1.4974947114
53.8013920591,-1.4974947114
53.753823155,-1.5705102993
53.8219170081,-1.5438236274
53.8116207853,-1.5172824317
53.7950844623,-1.5647151085
53.799460095,-1.5449174614
53.8062121809,-1.5748952675
53.7997906776,-1.5057883638
53.8332218917,-1.4730911655
53.7620401293,-1.4969935813
53.7620401293,-1.4969935813
53.8406394414,-1.4695634796
53.8406394414,-1.4695634796
53.801875581,-1.6024664245
53.801875581,-1.6024664245
53.801875581,-1.6024664245
53.7811349895,-1.5955297182
53.8150383215,-1.5623669854
53.8150383215,-1.5623669854
53.8120684966,-1.4383957292
53.8028165781,-1.5459591788
53.7965655347,-1.6848298964
53.7346715697,-1.5761475377
53.7346715697,-1.5761475377
53.8413270052,-1.5064394492
53.7952253692,-1.5541325534
53.8998366846,-1.688254235
53.8998366846,-1.688254235
53.8176675941,-1.5396168214
53.8914678368,-1.6676991823
53.8914678368,-1.6676991823
53.8914678368,-1.6676991823
53.7638707579,-1.5627471903
53.8014804782,-1.6643869706
53.74155231,-1.4529965385
53.7916890784,-1.5778806198
53.8208984791,-1.5799721475
53.8138692203,-1.3433873276
53.8138692203,-1.3433873276
53.8048028012,-1.6415080548
53.8048028012,-1.6415080548
53.8385928211,-1.6028636106
53.8009175605,-1.6437123276
53.7937446836,-1.5311651374
53.8158333124,-1.6022736838
53.8158333124,-1.6022736838
53.7982198887,-1.5872127268
53.7982198887,-1.5872127268
53.8916586611,-1.6343750924
53.8916586611,-1.6343750924
53.7960054274,-1.4717357712
53.8261583677,-1.5227668889
53.7795486096,-1.3137845781
53.7576643163,-1.3819097338
53.8028064986,-1.545670798
53.8852884043,-1.6234312907
53.798503029,-1.6299322911
53.798503029,-1.6299322911
53.7915971948,-1.5672254653
53.7915971948,-1.5672254653
53.7915971948,-1.5672254653
53.7915971948,-1.5672254653
53.7915971948,-1.5672254653
53.7915971948,-1.5672254653
53.8105320264,-1.4994356365
53.7341117701,-1.534269158
53.8013659862,-1.4977075874
53.8031574239,-1.6967300864
53.7947204359,-1.6022607893
53.8191381398,-1.5752354127
53.7416420638,-1.4241730217
53.7416420638,-1.4241730217
53.7943238322,-1.6213616811
53.7546006615,-1.5977409523
53.7037428011,-1.5537059487
53.8153166524,-1.500153254
53.7758463497,-1.5396494826
53.8235549447,-1.4598745143
53.8000733874,-1.5574972585
53.8000733874,-1.5574972585
53.7552258643,-1.4736578253
53.7552258643,-1.4736578253
53.7552258643,-1.4736578253
53.7212009538,-1.5241371441
53.7212009538,-1.5241371441
